what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916231282
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916237575
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916239650
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916239803
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916242011
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916244150
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311916245645
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1311916247755
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311916258493
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916261099
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916261335
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311916268084
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311916275299
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916284313
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916292666
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1311916299217
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311916303058
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916306998
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311916308926
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916313564
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311916315044
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916315047
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916315078
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916315098
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916317583
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916317867
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311916322010
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916322455
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916322669
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916329670
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916342379
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311916344270
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916344978
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916349176
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916355437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916358043
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916361533
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916363230
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916366854
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1311916376137
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311916379035
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916385801
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916386249
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916386468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916387521
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916389314
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1311916392983
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311916393740
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311916396147
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916397439
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916399738
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916399884
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1311916412120
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311916414246
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916416173
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916418573
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916422208
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916422229
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916423945
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916425784
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916426690
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916445654
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311916447385
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916451836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916454676
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916455026
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916455213
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1311916455642
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311916456264
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311916461123
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916462636
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916468195
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311916474110
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916476407
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916497832
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311916499327
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916502038
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916505390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916511455
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916528617
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916529000
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916529221
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1311916529452
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311916530225
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311916532619
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916532941
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916551364
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311916555027
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916556409
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916558709
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916559287
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916560679
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1311916581289
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916583966
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916584985
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311916589959
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916592605
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916592891
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311916596974
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311916601112
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916601986
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916616728
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916617193
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916623864
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916629426
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1311916634002
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311916637409
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916653926
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916656314
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916657308
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916665903
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311916670235
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916670746
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311916674023
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916674025
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916674046
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916674065
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916674086
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916675184
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916675467
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1311916676410
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311916677540
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311916681967
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916682504
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916689946
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311916695357
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916695666
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916695913
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311916699707
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311916705933
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916710183
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916711701
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1311916711787
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916719909
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916720201
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916722403
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916724225
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916725156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916736703
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916740360
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311916752108
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311916758405
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311916778404
