what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1329540828466
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1329540828467
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1329540828469
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1329540828470
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1329540828471
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1329540828472
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1329540828473
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1329540828474
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1329540828475
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1329540828476
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1329540828476
started,bundle,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.adt",1329540828476
started,bundle,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms",1329540828476
started,bundle,com.android.ide.eclipse.traceview,15.0.1.v201111031820-219398,"com.android.ide.eclipse.traceview",1329540828476
started,bundle,com.python.pydev.analysis,2.3.0.2011121518,"com.python.pydev.analysis",1329540828477
started,bundle,org.python.pydev,2.3.0.2011121518,"org.python.pydev",1329540828477
started,bundle,org.python.pydev.core,2.3.0.2011121518,"org.python.pydev.core",1329540828478
started,bundle,org.python.pydev.debug,2.3.0.2011121518,"org.python.pydev.debug",1329540828479
started,bundle,org.eclipse.wb.core,1.2.0.r38x201112151810,"org.eclipse.wb.core",1329540828479
started,bundle,org.eclipse.wb.core.lib,1.2.0.r38x201112151810,"org.eclipse.wb.core.lib",1329540828480
started,bundle,org.eclipse.wb.discovery.core,1.2.0.r38x201112151829,"org.eclipse.wb.discovery.core",1329540828481
started,bundle,org.eclipse.wb.discovery.ui,1.2.0.r38x201112151829,"org.eclipse.wb.discovery.ui",1329540828482
started,bundle,net.rim.ajde,1.0.3.201201301422,"net.rim.ajde",1329540828482
started,bundle,net.rim.blackberry,1.0.3.201201301422,"net.rim.blackberry",1329540828482
started,bundle,net.rim.common.signer,1.0.3.201201301422,"net.rim.common.signer",1329540828483
os,sysinfo,,,"win32",1329540828487
arch,sysinfo,,,"x86_64",1329540828487
ws,sysinfo,,,"win32",1329540828487
locale,sysinfo,,,"en_US",1329540828487
processors,sysinfo,,,"4",1329540828487
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1329540828487
java.runtime.version,sysinfo,,,"1.7.0-b147",1329540828487
java.specification.name,sysinfo,,,"Java Platform API Specification",1329540828487
java.specification.vendor,sysinfo,,,"Oracle Corporation",1329540828487
java.specification.version,sysinfo,,,"1.7",1329540828487
java.vendor,sysinfo,,,"Oracle Corporation",1329540828487
java.version,sysinfo,,,"1.7.0",1329540828487
java.vm.info,sysinfo,,,"mixed mode",1329540828487
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1329540828487
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1329540828487
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1329540828487
java.vm.specification.version,sysinfo,,,"1.7",1329540828487
java.vm.vendor,sysinfo,,,"Oracle Corporation",1329540828487
java.vm.version,sysinfo,,,"21.0-b17",1329540828487
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1329540828491
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1329540829506
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329540829926
